Revisit,Number_of_attacks,Committed_defenders,Play,Flow,Successful,Shot_type,Points,Time,Opponent,Half
,2,2,Base,OB,N/A,Open 3,0,19:10,Dartmouth,1
,0,1,Set,Halfcourt,Yes,Semi-contested 3,3,18:25,Dartmouth,1
,1,1,Transition,Transition,,Contested layup,0,17:48,Dartmouth,1
,2,1,Set,Halfcourt,No,Semi-contested 3,0,17:34,Dartmouth,1
,2,2,Base,Halfcourt,,Open 3,0,16:50,Dartmouth,1
,1,0,Set,Halfcourt,Yes,Semi-contested floater,2,16:00,Dartmouth,1
,1,0,Base,Halfcourt,,Fade away 2,0,15:35,Dartmouth,1
,1,0,Transition,Transition,,Open Layup,0,15:12,Dartmouth,1
,2,1,Set,Halfcourt,No,contested layup,2,14:50,Dartmouth,1
,0,2,OB,OB,Yes,Open 3,0,13:45,Dartmouth,1
,1,0,Transition,Transition,,Dunk,2,13:19,Dartmouth,1
,0,1,Base,Halfcourt,Yes,Open layup,2,12:55,Dartmouth,1
,1,1,Base,OB,,Semi-contested 3,0,12:30,Dartmouth,1
,1,1,Base,Halfcourt,,Open lay up,0,11:30,Dartmouth,1
,1,0,Base,Halfcourt,,Contested lay up,2,11:05,Dartmouth,1
,1,0,Base,Halfcourt,,Contested lay up,0,10:30,Dartmouth,1
,1,1,Base,Halfcourt,,Semi-contested 3,0,10:15,Dartmouth,1
,1,1,Set,Halfcourt,Yes,Open layup,2,9:50,Dartmouth,1
,1,1,Base,Halfcourt,,Turnover,0,9:20,Dartmouth,1
,1,0,Set,Halfcourt,Yes,Hook shot,0,8:45,Dartmouth,1
,1,1,Base,Halfcourt,,Open 3,4,8:20,Dartmouth,1
,1,1,Set,Halfcourt,Yes,Open 3,0,7:55,Dartmouth,1
,0,0,Transition,Transition,,Semi-contested 3,3,7:19,Dartmouth,1
,1,1,Transition,Transition,,Foul,2,6:40,Dartmouth,1
,2,2,Base,Halfcourt,,Open lay up,2,6:10,Dartmouth,1
,1,0,Set,Halfcourt,Yes,Contested lay up,2,5:40,Dartmouth,1
,0,1,Base,Halfcourt,,Contested 3,0,4:55,Dartmouth,1
,0,0,Set,Halfcourt,,Contested 2,2,4:25,Dartmouth,1
,1,,Set,Halfcourt,Yes,Foul,2,3:45,Dartmouth,1
,0,0,Set,Halfcourt,,Turnover,0,3:10,Dartmouth,1
,1,0,Base,Halfcourt,,Blocked shot,0,2:50,Dartmouth,1
,1,0,Base,Halfcourt,,Contested floater,2,2:45,Dartmouth,1
,1,,Base,Halfcourt,,Foul,0,2:00,Dartmouth,1
,1,0,Transition,Transition,,Turnover,0,1:45,Dartmouth,1
,1,0,Set,Halfcourt,No,Contested layup,2,1:15,Dartmouth,1
,1,0,Transition,Transition,,Dunk,2,:55,Dartmouth,1
,0,0,Base,Tranisition,,Turnvoer,0,:28,Dartmouth,1

,0,0,Set,Halfcourt,Yes,Semi-contested 2,2,19:41,Albany,1
,1,1,Set,Halfcourt,Yes,Open 2,0,19:00,Albany,1
,2,2,Set,Halfcourt,Yes,Floater,0,18:21,Albany,1
